date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:32:20	12227/12227	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Nov%202018%2018:53:22%20GMT	https://www.loc.gov/rr/program/	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/rr/program/index.html	(from https://www.loc.gov/rr/)
20:32:21	19953/19953	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Jan%202020%2014:21:02%20GMT	https://www.loc.gov/rr/frd/	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/rr/frd/index.html	(from https://www.loc.gov/rr/)
20:32:22	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Fri,%2031%20Jan%202020%2015:02:22%20GMT	https://www.loc.gov/global/disclaim.html	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/global/disclaim.html	(from https://www.loc.gov/rr/)
20:32:22	298/298	---MCZ	200	added ('OK')	text/css	date:Tue,%2024%20Nov%202015%2017:59:26%20GMT	https://www.loc.gov/teachers/css/styles.css	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/teachers/css/styles.css	(from https://www.loc.gov/teachers/)
20:32:23	6157/6157	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202020%2015:02:23%20GMT	http://www.loc.gov/no-known-copyright-restrictions/	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/no-known-copyright-restrictions/index.html	(from https://www.loc.gov/teachers/)
20:32:24	9172/9172	---MCZ	200	added ('OK')	text/css	date:Tue,%2024%20Nov%202015%2019:08:06%20GMT	https://www.loc.gov/teachers/standards/css/standards.css	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/teachers/standards/css/standards.css	(from https://www.loc.gov/teachers/)
20:32:24	85260/85260	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2031%20Jan%202020%2015:02:23%20GMT	http://cdn.loc.gov/js/lib/jquery-1.5.1.min.js	C:/Users/shiva/Desktop/nhh/lib/library/cdn.loc.gov/js/lib/jquery-1.5.1.min.js	(from https://www.loc.gov/teachers/)
20:32:25	8882/8882	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2031%20Jan%202020%2015:02:25%20GMT	http://cdn.loc.gov/js/jcarousel/lib/jquery.jcarousel.pack.js	C:/Users/shiva/Desktop/nhh/lib/library/cdn.loc.gov/js/jcarousel/lib/jquery.jcarousel.pack.js	(from https://www.loc.gov/teachers/)
20:32:26	198792/198792	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2031%20Jan%202020%2015:02:24%20GMT	http://cdn.loc.gov/js/lib/jquery-ui-1.8.10.min.js	C:/Users/shiva/Desktop/nhh/lib/library/cdn.loc.gov/js/lib/jquery-ui-1.8.10.min.js	(from https://www.loc.gov/teachers/)
20:32:26	213/213	---M-Z	200	added ('OK')	text/css	date:Fri,%2006%20Nov%202015%2021:52:16%20GMT	http://cdn.loc.gov/js/jcarousel/loc_carousel_dark.css	C:/Users/shiva/Desktop/nhh/lib/library/cdn.loc.gov/js/jcarousel/loc_carousel_dark.css	(from https://www.loc.gov/teachers/)
20:32:27	1785/1785	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2019%20Mar%202013%2012:07:35%20GMT	https://www.loc.gov/teachers/standards/jquery/jquery.cookie.js	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/teachers/standards/jquery/jquery.cookie.js	(from https://www.loc.gov/teachers/)
20:32:28	5388/5388	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2031%20Jan%202020%2015:02:28%20GMT	http://cdn.loc.gov/sites/teachers.js	C:/Users/shiva/Desktop/nhh/lib/library/cdn.loc.gov/sites/teachers.js	(from https://www.loc.gov/teachers/)
20:32:28	663/663	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2009%20Jul%202014%2016:28:40%20GMT	https://www.loc.gov/teachers/standards/js/standards.js	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/teachers/standards/js/standards.js	(from https://www.loc.gov/teachers/)
20:32:28	0/-1	---M--	301	error ('')			http://www.loc.gov/library/libarch-digital.html	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/library/libarch-digital.1c9.delayed	(from https://www.loc.gov/teachers/)
20:32:28	818/818	---M--	200	added ('OK')	image/gif	date:Thu,%2009%20Feb%202012%2018:54:16%20GMT	https://www.loc.gov/teachers/images/left-img-head.gif	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/teachers/images/left-img-head.gif	(from https://www.loc.gov/teachers/)
20:32:30	13439/13439	---M--	200	added ('OK')	image/jpeg	date:Wed,%2011%20Dec%202019%2017:14:59%20GMT	https://www.loc.gov/teachers/images/carousel/STI-2020.jpg	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/teachers/images/carousel/STI-2020.jpg	(from https://www.loc.gov/teachers/)
20:32:30	12351/12351	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202020%2015:02:30%20GMT	https://www.loc.gov/teachers/tps/	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/teachers/tps/index.html	(from https://www.loc.gov/teachers/)
20:32:30	12453/12453	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202020%2015:02:30%20GMT	https://www.loc.gov/teachers/usingprimarysources/	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/teachers/usingprimarysources/index.html	(from https://www.loc.gov/teachers/)
20:32:30	12604/12604	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202020%2015:02:30%20GMT	https://www.loc.gov/teachers/classroommaterials/	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/teachers/classroommaterials/index.html	(from https://www.loc.gov/teachers/)
20:32:30	11863/11863	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202020%2015:02:30%20GMT	https://www.loc.gov/teachers/newsevents/	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/teachers/newsevents/index.html	(from https://www.loc.gov/teachers/)
20:32:31	16430/16430	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202020%2015:02:30%20GMT	https://www.loc.gov/teachers/professionaldevelopment/teacherinstitute/	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/teachers/professionaldevelopment/teacherinstitute/index.html	(from https://www.loc.gov/teachers/)
